input,intent,botName
Customer assistance to discuss bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service related to bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service discuss the bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service to discuss bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about a past due bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about the bill billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service to talk about the bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service to discuss our bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about a billing issue,Agent transfer,Common_Dev_UNI_FEB28
Customer service discuss bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service regarding the bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service concerning the bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service regarding bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service in regards to bill,Agent transfer,Common_Dev_UNI_FEB28
Customer resolutions regarding bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service representative regarding a bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service concerning bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service customer service about billing,Agent transfer,Common_Dev_UNI_FEB28
Calling about a bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service related to a bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service rep about a bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about a billing,Agent transfer,Common_Dev_UNI_FEB28
Representative about my cable bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service checking about cable bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service to speak with bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about cable bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service about billing issue,Agent transfer,Common_Dev_UNI_FEB28
Mobile customer service about billing,Agent transfer,Common_Dev_UNI_FEB28
Customer customer service about billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service discuss billing,Agent transfer,Common_Dev_UNI_FEB28
Customer support about billing,Agent transfer,Common_Dev_UNI_FEB28
Tech support about billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service about billing information,Agent transfer,Common_Dev_UNI_FEB28
Representative my bill my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about the billing,Agent transfer,Common_Dev_UNI_FEB28
General discussion with customer support about billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service services about billing,Agent transfer,Common_Dev_UNI_FEB28
Where bill due refund customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service about billing issues,Agent transfer,Common_Dev_UNI_FEB28
My bill representative representative,Agent transfer,Common_Dev_UNI_FEB28
Representative representative my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative my bill motherfucker,Agent transfer,Common_Dev_UNI_FEB28
Representative my bill,Agent transfer,Common_Dev_UNI_FEB28
Represent representative representative my bill billing representative,Agent transfer,Common_Dev_UNI_FEB28
Representative representative my bill representative,Agent transfer,Common_Dev_UNI_FEB28
Calling about billing customer service,Agent transfer,Common_Dev_UNI_FEB28
My present bill representative,Agent transfer,Common_Dev_UNI_FEB28
Representative my bill representative my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative my bill pronto,Agent transfer,Common_Dev_UNI_FEB28
Representative bill my bill,Agent transfer,Common_Dev_UNI_FEB28
My bill rep representative,Agent transfer,Common_Dev_UNI_FEB28
My bill my bill my bill my bill representative representative,Agent transfer,Common_Dev_UNI_FEB28
Representative representative representative my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative my bills,Agent transfer,Common_Dev_UNI_FEB28
Representative my bill representative,Agent transfer,Common_Dev_UNI_FEB28
Representative reason my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative fucking bill,Agent transfer,Common_Dev_UNI_FEB28
Representative my bill statement,Agent transfer,Common_Dev_UNI_FEB28
Cable bill representative,Agent transfer,Common_Dev_UNI_FEB28
Internet bill representative,Agent transfer,Common_Dev_UNI_FEB28
My bill representative representative representative,Agent transfer,Common_Dev_UNI_FEB28
Mobile bill representative,Agent transfer,Common_Dev_UNI_FEB28
Spectrum TV bill need representative,Agent transfer,Common_Dev_UNI_FEB28
Bill customer service bill,Agent transfer,Common_Dev_UNI_FEB28
Bill customer service bill bill,Agent transfer,Common_Dev_UNI_FEB28
Representative rain my bill,Agent transfer,Common_Dev_UNI_FEB28
Bill customer service with bill,Agent transfer,Common_Dev_UNI_FEB28
Bill service bills billing service,Agent transfer,Common_Dev_UNI_FEB28
Customer service adjustment to bill customer service adjustment to bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service bill pay making a payment,Agent transfer,Common_Dev_UNI_FEB28
Internet bill representative goddamn,Agent transfer,Common_Dev_UNI_FEB28
Customer service to pay bill customer number for service,Agent transfer,Common_Dev_UNI_FEB28
Customer service bill bill bill,Agent transfer,Common_Dev_UNI_FEB28
Representative three pay bill pay bill,Agent transfer,Common_Dev_UNI_FEB28
Representative pay bill pay bill representative,Agent transfer,Common_Dev_UNI_FEB28
Bill customer service for bill,Agent transfer,Common_Dev_UNI_FEB28
Supervisor bill pay a bill supervisor,Agent transfer,Common_Dev_UNI_FEB28
Representative regarding my increase in the billing department,Agent transfer,Common_Dev_UNI_FEB28
Service representative about my cable bill,Agent transfer,Common_Dev_UNI_FEB28
Representative one bill payment,Agent transfer,Common_Dev_UNI_FEB28
Represent representative bills bill pay,Agent transfer,Common_Dev_UNI_FEB28
Make a payment bill pay customer service rep,Agent transfer,Common_Dev_UNI_FEB28
Representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative about my damn bill,Agent transfer,Common_Dev_UNI_FEB28
Representative charges bill representative charges bill,Agent transfer,Common_Dev_UNI_FEB28
Representative about my bill damn,Agent transfer,Common_Dev_UNI_FEB28
Representative for my cable bill,Agent transfer,Common_Dev_UNI_FEB28
Based representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Recent representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative bill bill bill pay pay bill representative,Agent transfer,Common_Dev_UNI_FEB28
Representative about my bill billing,Agent transfer,Common_Dev_UNI_FEB28
Representative about my Internet bill,Agent transfer,Common_Dev_UNI_FEB28
Representative about my bill my mobile bill,Agent transfer,Common_Dev_UNI_FEB28
Representative about my phone bill,Agent transfer,Common_Dev_UNI_FEB28
Wi-Fi technical representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Account representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative about paying my bill,Agent transfer,Common_Dev_UNI_FEB28
Associate regarding my billing,Agent transfer,Common_Dev_UNI_FEB28
For myself representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative about my high bill,Agent transfer,Common_Dev_UNI_FEB28
Representative about my bill cable bill,Agent transfer,Common_Dev_UNI_FEB28
Service representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
A representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
About my bill wanna representative,Agent transfer,Common_Dev_UNI_FEB28
Account about about my bill representative,Agent transfer,Common_Dev_UNI_FEB28
Representative about my bill and service,Agent transfer,Common_Dev_UNI_FEB28
Representative about my account to pay my bill,Agent transfer,Common_Dev_UNI_FEB28
With a representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
To a representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative about my bill my cable,Agent transfer,Common_Dev_UNI_FEB28
To a representative about my my bill,Agent transfer,Common_Dev_UNI_FEB28
An representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Bill representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative for my bill billing,Agent transfer,Common_Dev_UNI_FEB28
A representative about my bill cable bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service representative to pay a bill,Agent transfer,Common_Dev_UNI_FEB28
Bill about my bill representative,Agent transfer,Common_Dev_UNI_FEB28
The representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative with my billing,Agent transfer,Common_Dev_UNI_FEB28
Representative for my billing,Agent transfer,Common_Dev_UNI_FEB28
Representative for my bill my monthly bill,Agent transfer,Common_Dev_UNI_FEB28
Representative yes my billing questions,Agent transfer,Common_Dev_UNI_FEB28
A representative from my billing,Agent transfer,Common_Dev_UNI_FEB28
Representative to explain my billing,Agent transfer,Common_Dev_UNI_FEB28
Representative for my bill billing representative,Agent transfer,Common_Dev_UNI_FEB28
Representative regarding my cable service billing,Agent transfer,Common_Dev_UNI_FEB28
Representative about my TV service and billing,Agent transfer,Common_Dev_UNI_FEB28
Billing representative on my billing,Agent transfer,Common_Dev_UNI_FEB28
Representative agent my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative my billing,Agent transfer,Common_Dev_UNI_FEB28
Representative about my billing,Agent transfer,Common_Dev_UNI_FEB28
Representative in my billing question,Agent transfer,Common_Dev_UNI_FEB28
Representative on my cable about my billing,Agent transfer,Common_Dev_UNI_FEB28
Representative my bill billing,Agent transfer,Common_Dev_UNI_FEB28
Representative regarding my billing,Agent transfer,Common_Dev_UNI_FEB28
Representative my phone bill,Agent transfer,Common_Dev_UNI_FEB28
Representative to talk about my billing,Agent transfer,Common_Dev_UNI_FEB28
Representative regarding questions on my new billing,Agent transfer,Common_Dev_UNI_FEB28
Representative my billing billing,Agent transfer,Common_Dev_UNI_FEB28
Representative to discuss reducing my monthly billing,Agent transfer,Common_Dev_UNI_FEB28
A representative about my billing,Agent transfer,Common_Dev_UNI_FEB28
Customer retention for an overpriced bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service trying to get a lower bill payment,Agent transfer,Common_Dev_UNI_FEB28
Representative to discuss my billing,Agent transfer,Common_Dev_UNI_FEB28
Agent Internet my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative about my Internet issues and billing,Agent transfer,Common_Dev_UNI_FEB28
Agent regarding my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer representative to check bill,Agent transfer,Common_Dev_UNI_FEB28
Live representative for my billing,Agent transfer,Common_Dev_UNI_FEB28
Customer representative to pay the bill,Agent transfer,Common_Dev_UNI_FEB28
Manager about my bill,Agent transfer,Common_Dev_UNI_FEB28
Price too high a bill customer service retention specialist,Agent transfer,Common_Dev_UNI_FEB28
Agent to speak about my bill,Agent transfer,Common_Dev_UNI_FEB28
Agent regards a bill,Agent transfer,Common_Dev_UNI_FEB28
Agent to discuss my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service and billing thank you,Agent transfer,Common_Dev_UNI_FEB28
Representative please bill,Agent transfer,Common_Dev_UNI_FEB28
Representative discuss bill possible cancel,Agent transfer,Common_Dev_UNI_FEB28
Representative please discussing a bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy on the billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service I have a billing question,Agent transfer,Common_Dev_UNI_FEB28
Need to speak to a representative in regards to billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service representative I need billing questions,Agent transfer,Common_Dev_UNI_FEB28
Need to talk to a representative about the billing change,Agent transfer,Common_Dev_UNI_FEB28
I'd like to speak with a agent let me a credit out the phone bill pay,Agent transfer,Common_Dev_UNI_FEB28
Need to speak with a representative and the billing department,Agent transfer,Common_Dev_UNI_FEB28
I'm calling about my bill I'd like to speak to billing please,Agent transfer,Common_Dev_UNI_FEB28
Need to speak to a customer representative about billing,Agent transfer,Common_Dev_UNI_FEB28
Need to speak with a representative regarding billing,Agent transfer,Common_Dev_UNI_FEB28
Need to speak with a representative about mobile billing,Agent transfer,Common_Dev_UNI_FEB28
Need to talk to a rep representative about billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service to speak about my bill,Agent transfer,Common_Dev_UNI_FEB28
Need to speak to a service representative regarding billing,Agent transfer,Common_Dev_UNI_FEB28
Need to speak to a representative regarding billing,Agent transfer,Common_Dev_UNI_FEB28
Need to talk with a representative regarding billing information,Agent transfer,Common_Dev_UNI_FEB28
I'm calling about my bill can I speak to someone about it please,Agent transfer,Common_Dev_UNI_FEB28
Calling about my bill statement customer representative,Agent transfer,Common_Dev_UNI_FEB28
I'm calling about my bill is incorrect I need to speak to a person please,Agent transfer,Common_Dev_UNI_FEB28
I'm calling about my bill I need to speak to someone about my bill please,Agent transfer,Common_Dev_UNI_FEB28
I'm calling about my bill and I would like to speak to an agent please,Agent transfer,Common_Dev_UNI_FEB28
Customer customer service representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service to talk to about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service paying the bill,Agent transfer,Common_Dev_UNI_FEB28
I'm calling to pay my bill but I would like to talk to somebody,Agent transfer,Common_Dev_UNI_FEB28
Customer customer representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer specialist about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service representative about my billing,Agent transfer,Common_Dev_UNI_FEB28
Customer representative about my billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service to discuss my overall bill,Agent transfer,Common_Dev_UNI_FEB28
About my bill customer service representative,Agent transfer,Common_Dev_UNI_FEB28
My bill that I owe for nine September the eighteenth,Agent transfer,Common_Dev_UNI_FEB28
About my bill customer representative,Agent transfer,Common_Dev_UNI_FEB28
Customer service person about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service to talk about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service agent about my bill,Agent transfer,Common_Dev_UNI_FEB28
To pay my bill for September twenty twenty three,Agent transfer,Common_Dev_UNI_FEB28
Operator assistance about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about my bill with somebody,Agent transfer,Common_Dev_UNI_FEB28
Customer representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer representative concerning my bill,Agent transfer,Common_Dev_UNI_FEB28
To pay my September twenty twenty three bill,Agent transfer,Common_Dev_UNI_FEB28
Provider about my bill,Agent transfer,Common_Dev_UNI_FEB28
My bill for the month of September two thousand twenty three,Agent transfer,Common_Dev_UNI_FEB28
Customer representative regarding my bill,Agent transfer,Common_Dev_UNI_FEB28
My bill on the eight month the eleventh day,Agent transfer,Common_Dev_UNI_FEB28
The amount I owe for September September's bill,Agent transfer,Common_Dev_UNI_FEB28
My bill for June of this year twenty twenty three,Agent transfer,Common_Dev_UNI_FEB28
Customer service representative regarding my billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service rep regarding my bill,Agent transfer,Common_Dev_UNI_FEB28
April two thousand twenty three a copy of the bill,Agent transfer,Common_Dev_UNI_FEB28
Paying my recent bill of August twenty five,Agent transfer,Common_Dev_UNI_FEB28
My billing on August thirtieth for fifty nine seventy eight,Agent transfer,Common_Dev_UNI_FEB28
Customer service representative to ask questions about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about my paperless billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service representative regarding charges on my bill,Agent transfer,Common_Dev_UNI_FEB28
Regarding my bill customer service rep,Agent transfer,Common_Dev_UNI_FEB28
Representative customer service regarding my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service customer service regarding my billing for Natalie friends school,Agent transfer,Common_Dev_UNI_FEB28
About my bill customer care,Agent transfer,Common_Dev_UNI_FEB28
Customer service agent concerning my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service representative in regards to my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service rep regarding my billing,Agent transfer,Common_Dev_UNI_FEB28
Email about my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Connect customer service about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about my bill being increased,Agent transfer,Common_Dev_UNI_FEB28
Customer service about my billing statement,Agent transfer,Common_Dev_UNI_FEB28
Customer service agent regarding my billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service about my bill billing,Agent transfer,Common_Dev_UNI_FEB28
To discuss my bill with customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer store service about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer retention about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about my bill billing department,Agent transfer,Common_Dev_UNI_FEB28
Talk about my billing customer support,Agent transfer,Common_Dev_UNI_FEB28
Discussing my billing program customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service billing about my,Agent transfer,Common_Dev_UNI_FEB28
Customer assistance about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about my previous bill,Agent transfer,Common_Dev_UNI_FEB28
Discussing my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
My payment on my bill customer representative,Agent transfer,Common_Dev_UNI_FEB28
Customer service talk about bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service about my billing charge,Agent transfer,Common_Dev_UNI_FEB28
Customer support about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service talk about my bill,Agent transfer,Common_Dev_UNI_FEB28
Billing insurance Internet for my pay my bill,Agent transfer,Common_Dev_UNI_FEB28
To discuss my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Home talk about a bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Discussing my bill with the customer service,Agent transfer,Common_Dev_UNI_FEB28
My bill connect me to customer service billing,Agent transfer,Common_Dev_UNI_FEB28
Checking my bill payment payment customer service,Agent transfer,Common_Dev_UNI_FEB28
Call customer service installation for my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service to pay my bill and get a new phone,Agent transfer,Common_Dev_UNI_FEB28
Customer service discussing my bill,Agent transfer,Common_Dev_UNI_FEB28
In reference to a mobile bill,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill account payable customer service,Agent transfer,Common_Dev_UNI_FEB28
Check on my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service to check on my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service find out my bill payments,Agent transfer,Common_Dev_UNI_FEB28
In reference to my bill being paid,Agent transfer,Common_Dev_UNI_FEB28
Payment plan for my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Overcharge on the bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill or check on my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
In reference to my bill my statement,Agent transfer,Common_Dev_UNI_FEB28
Increase in bill I need customer service,Agent transfer,Common_Dev_UNI_FEB28
Make a payment on my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Pay my Internet bill customer service and talk to customer service,Agent transfer,Common_Dev_UNI_FEB28
Make a past due payment on my phone bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Explanation of the current bill I just received,Agent transfer,Common_Dev_UNI_FEB28
Customer service changes in my bill,Agent transfer,Common_Dev_UNI_FEB28
In reference to my damn bill,Agent transfer,Common_Dev_UNI_FEB28
In reference to lowering my bill,Agent transfer,Common_Dev_UNI_FEB28
In reference to my mobile bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service rise in my bill,Agent transfer,Common_Dev_UNI_FEB28
In reference to my bill,Agent transfer,Common_Dev_UNI_FEB28
In reference to my monthly bill,Agent transfer,Common_Dev_UNI_FEB28
In reference to my bill being raised,Agent transfer,Common_Dev_UNI_FEB28
Customer service about my bill changes,Agent transfer,Common_Dev_UNI_FEB28
Customer service reduce my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service lowering my bill price,Agent transfer,Common_Dev_UNI_FEB28
My bill increase in my bell customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service lowering my price the bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service my my bill,Agent transfer,Common_Dev_UNI_FEB28
I need customer service bill increase,Agent transfer,Common_Dev_UNI_FEB28
Customer service my bill doubled,Agent transfer,Common_Dev_UNI_FEB28
Customer service reducing my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service representative lowering my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service customer service bill my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service questioning increase in my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service lowering my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service an increase in my bill,Agent transfer,Common_Dev_UNI_FEB28
Bill bill my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Internet service my bill my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service my bill increase,Agent transfer,Common_Dev_UNI_FEB28
Reduce my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service my bill has increased,Agent transfer,Common_Dev_UNI_FEB28
Customer service my bill customer service my bill,Agent transfer,Common_Dev_UNI_FEB28
Business my bill business bill,Agent transfer,Common_Dev_UNI_FEB28
My bill my bill customer service for my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service bill my bill,Agent transfer,Common_Dev_UNI_FEB28
My bill bill customer service bill,Agent transfer,Common_Dev_UNI_FEB28
On my bill customer service my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
My bill customer service my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service my concerning my bill my package,Agent transfer,Common_Dev_UNI_FEB28
Customer my bill my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service my bill my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service regarding my bill and my equipment return,Agent transfer,Common_Dev_UNI_FEB28
Bill my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
My bill my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Bill my bill with customer service,Agent transfer,Common_Dev_UNI_FEB28
My bill service service service service,Agent transfer,Common_Dev_UNI_FEB28
Customer service regarding my bill going up,Agent transfer,Common_Dev_UNI_FEB28
My bill my bill my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service pickup bill my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
My bill my bill my bill my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service regarding on my billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service regarding my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service concerning my billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service in billing regarding my account,Agent transfer,Common_Dev_UNI_FEB28
My my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service concerning my bill,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill pay my bill customer service pay my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer customer service concerning my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service regarding my bill payment,Agent transfer,Common_Dev_UNI_FEB28
Customer service regarding my billing,Agent transfer,Common_Dev_UNI_FEB28
Regarding my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service bill bill to customer service on my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service regarding date on my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service now regarding my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service regarding my cable bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service pay my bill pay my bill,Agent transfer,Common_Dev_UNI_FEB28
On my billing customer service,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill pay my bill customer service customer service,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill pay my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer customer service pay my bill pay my bill,Agent transfer,Common_Dev_UNI_FEB28
Billing accessing my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service a question on my bill,Agent transfer,Common_Dev_UNI_FEB28
Pay customer service pay my bill,Agent transfer,Common_Dev_UNI_FEB28
Paying the bill customer service paying the bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service the bill pay the bill pay my bill,Agent transfer,Common_Dev_UNI_FEB28
Question about my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service on my billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service for my account billing,Agent transfer,Common_Dev_UNI_FEB28
Billing on why my bill went up customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service question regarding my bill,Agent transfer,Common_Dev_UNI_FEB28
Question my bill customer service representative,Agent transfer,Common_Dev_UNI_FEB28
Customer service for my billing,Agent transfer,Common_Dev_UNI_FEB28
Question for my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Questions regarding my bill customer service representative,Agent transfer,Common_Dev_UNI_FEB28
Customer service rep question about my bill,Agent transfer,Common_Dev_UNI_FEB28
Detailed question about my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service a question about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service questions with my billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service question about my bill,Agent transfer,Common_Dev_UNI_FEB28
Question regarding my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Question of my bill customer service rep,Agent transfer,Common_Dev_UNI_FEB28
Questions about my bill customer representative,Agent transfer,Common_Dev_UNI_FEB28
Questions on my bill customer representative,Agent transfer,Common_Dev_UNI_FEB28
Customer service questions with my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service regarding question about my bill,Agent transfer,Common_Dev_UNI_FEB28
Questions on my bill customer service rep,Agent transfer,Common_Dev_UNI_FEB28
A question about my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service agent questions about my bill,Agent transfer,Common_Dev_UNI_FEB28
Questions on my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service questions about my bill,Agent transfer,Common_Dev_UNI_FEB28
Question on my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service representative question about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer question about my bill,Agent transfer,Common_Dev_UNI_FEB28
Asking a question about my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Question about my bill customer representative,Agent transfer,Common_Dev_UNI_FEB28
Question about my bill customer service rep,Agent transfer,Common_Dev_UNI_FEB28
Customer service on the talk about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service on why you raised my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative about my bill representative,Agent transfer,Common_Dev_UNI_FEB28
Customer customer representative question about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service questions on my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer about my bill,Agent transfer,Common_Dev_UNI_FEB28
Questions about my bill customer service representative,Agent transfer,Common_Dev_UNI_FEB28
Represent representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service at the question about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service rep questions about my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service rep questions on my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative a question about my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative to decrease my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative representative representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
Questions about my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Customer service question on my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative representative one-word no my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative from my bill,Agent transfer,Common_Dev_UNI_FEB28
Concerning my bill representative,Agent transfer,Common_Dev_UNI_FEB28
Representative talk about my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative representative a question about my bill,Agent transfer,Common_Dev_UNI_FEB28
Extension on my bill representative,Agent transfer,Common_Dev_UNI_FEB28
Representative question on my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative representative talk about my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative calling about my bill representative,Agent transfer,Common_Dev_UNI_FEB28
Represent representative regarding my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative questioning my channels my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative flooring my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative changes to my bill,Agent transfer,Common_Dev_UNI_FEB28
